OrderID,OrderDate,CustomerID,CustomerName,Segment,ProductID,ProductName,Category,Sub-Category,Quantity,UnitPrice,Discount,Profit,Sales,Country,City,State,Region
CA-2024-100011,2022-03-21,CUS-1427,Andrea Gutierrez,Consumer,PROD-002,However Binders,Office Supplies,Binders,5,410.18,0.12,374.78,1804.79,United States,Chicago,Illinois,Central
CA-2024-100012,2023-05-02,CUS-1108,Nicholas Gonzalez,Corporate,PROD-014,Them Phones,Technology,Phones,9,581.9,0.12,564.16,4608.65,Germany,Berlin,Berlin,EMEA
CA-2023-100013,2022-12-12,CUS-1261,Jessica Rubio,Home Office,PROD-025,Fact Accessories,Technology,Accessories,8,11.73,0.1,16.47,84.46,United States,Los Angeles,California,West
CA-2023-100014,2023-02-20,CUS-1225,Mariah Coleman,Home Office,PROD-039,Off Tables,Furniture,Tables,8,669.41,0.12,275.15,4712.65,Australia,Sydney,NSW,APAC
CA-2022-100015,2024-06-26,CUS-1400,Renee Kim,Corporate,PROD-033,Wear Tables,Furniture,Tables,8,76.3,0.1,107.55,549.36,Australia,Sydney,NSW,APAC
CA-2024-100016,2022-11-11,CUS-1073,Robert Jones,Corporate,PROD-032,Apply Monitors,Technology,Monitors,10,301.25,0.1,545.55,2711.25,United States,Chicago,Illinois,Central
CA-2022-100017,2024-05-28,CUS-1256,Kimberly Hill,Consumer,PROD-019,Many Binders,Office Supplies,Binders,6,147.21,0.05,42.79,839.1,Germany,Berlin,Berlin,EMEA
CA-2024-100018,2023-03-05,CUS-1158,Mary Thompson,Consumer,PROD-032,Apply Monitors,Technology,Monitors,6,640.71,0.12,529.81,3382.95,Brazil,São Paulo,São Paulo,LATAM
CA-2023-100019,2022-09-19,CUS-1150,Shannon Weber,Consumer,PROD-010,Mean Phones,Technology,Phones,5,541.78,0.12,458.69,2383.83,India,Mumbai,Maharashtra,APAC
CA-2024-100020,2022-12-06,CUS-1226,Monica Blake,Home Office,PROD-035,Including Chairs,Furniture,Chairs,7,18.28,0.05,28.1,121.56,United Kingdom,London,England,EMEA
CA-2023-100021,2024-01-20,CUS-1441,Mark Hess,Corporate,PROD-030,Whatever Accessories,Technology,Accessories,2,680.26,0.05,101.26,1292.49,Australia,Sydney,NSW,APAC
CA-2022-100022,2023-02-27,CUS-1452,Adrian Moore,Corporate,PROD-020,Close Monitors,Technology,Monitors,1,395.09,0.0,56.17,395.09,Germany,Berlin,Berlin,EMEA
CA-2023-100023,2023-09-01,CUS-1470,Ashley Howard,Home Office,PROD-022,Final Paper,Office Supplies,Paper,9,531.38,0.1,268.01,4304.18,United States,Los Angeles,California,West
CA-2022-100024,2022-05-24,CUS-1219,Robert Harper,Home Office,PROD-038,Old Writing,Office Supplies,Writing,2,187.46,0.12,79.19,329.93,South Africa,Cape Town,Western Cape,MEA
CA-2024-100025,2023-07-18,CUS-1154,Lindsay Evans,Home Office,PROD-003,Include Writing,Office Supplies,Writing,5,129.54,0.0,119.62,647.7,Germany,Berlin,Berlin,EMEA
CA-2023-100026,2023-11-10,CUS-1279,Christopher Conley,Corporate,PROD-006,As Phones,Technology,Phones,3,768.96,0.05,457.17,2191.54,Germany,Berlin,Berlin,EMEA
CA-2022-100027,2023-01-31,CUS-1185,Corey Joyce,Home Office,PROD-027,Old Envelopes,Office Supplies,Envelopes,5,107.44,0.12,102.05,472.74,Germany,Berlin,Berlin,EMEA
CA-2024-100028,2024-12-08,CUS-1482,Lee Johnson,Corporate,PROD-021,Billion Phones,Technology,Phones,4,123.92,0.12,46.08,436.2,Canada,Toronto,Ontario,Central
CA-2024-100029,2022-01-02,CUS-1442,Michele Hernandez,Consumer,PROD-035,Including Chairs,Furniture,Chairs,5,115.31,0.1,60.85,518.89,Brazil,São Paulo,São Paulo,LATAM
CA-2022-100030,2022-11-11,CUS-1105,Daniel Williams,Consumer,PROD-027,Old Envelopes,Office Supplies,Envelopes,2,263.45,0.12,73.86,463.67,Brazil,São Paulo,São Paulo,LATAM
CA-2022-100031,2022-01-20,CUS-1151,Mark Cunningham,Home Office,PROD-013,Such Writing,Office Supplies,Writing,10,315.65,0.05,567.56,2998.67,United Kingdom,London,England,EMEA
CA-2024-100032,2024-06-15,CUS-1035,Ashley Livingston,Corporate,PROD-025,Fact Accessories,Technology,Accessories,5,693.01,0.05,716.47,3291.8,Brazil,São Paulo,São Paulo,LATAM
CA-2023-100033,2023-02-21,CUS-1365,Loretta Lewis MD,Consumer,PROD-014,Them Phones,Technology,Phones,4,222.24,0.12,58.68,782.28,Canada,Toronto,Ontario,Central
CA-2023-100034,2024-07-08,CUS-1306,Dawn Neal,Corporate,PROD-025,Fact Accessories,Technology,Accessories,10,639.46,0.12,968.09,5627.25,United Kingdom,London,England,EMEA
CA-2022-100035,2023-03-04,CUS-1180,Carla Nguyen,Home Office,PROD-018,Senior Chairs,Furniture,Chairs,7,108.2,0.1,121.21,681.66,Germany,Berlin,Berlin,EMEA
CA-2023-100036,2023-10-27,CUS-1411,David Hansen,Home Office,PROD-020,Close Monitors,Technology,Monitors,3,597.51,0.1,293.08,1613.28,Brazil,São Paulo,São Paulo,LATAM
CA-2022-100037,2024-10-20,CUS-1329,Timothy Roberts,Corporate,PROD-035,Including Chairs,Furniture,Chairs,2,379.48,0.12,41.21,667.88,United States,Los Angeles,California,West
CA-2023-100038,2023-07-25,CUS-1470,Martin Garcia,Corporate,PROD-008,Rule Envelopes,Office Supplies,Envelopes,3,772.98,0.0,272.29,2318.94,Australia,Sydney,NSW,APAC
CA-2023-100039,2023-09-11,CUS-1134,Robert Coleman,Corporate,PROD-021,Billion Phones,Technology,Phones,7,431.68,0.05,257.69,2870.67,Brazil,São Paulo,São Paulo,LATAM
CA-2023-100040,2024-09-17,CUS-1112,Troy Hester,Consumer,PROD-032,Apply Monitors,Technology,Monitors,7,617.77,0.0,610.65,4324.39,Canada,Toronto,Ontario,Central
CA-2024-100041,2024-08-10,CUS-1061,Monica Luna,Corporate,PROD-027,Old Envelopes,Office Supplies,Envelopes,3,562.94,0.1,78.23,1519.94,United States,New York,New York,East
CA-2022-100042,2024-11-03,CUS-1068,Evan Higgins,Corporate,PROD-016,Development Tablets,Technology,Tablets,5,626.01,0.05,539.96,2973.55,Australia,Sydney,NSW,APAC
CA-2022-100043,2022-04-01,CUS-1048,Heather Lewis,Home Office,PROD-037,Care Tables,Furniture,Tables,3,372.04,0.05,138.87,1060.31,United States,Los Angeles,California,West
CA-2024-100044,2022-06-05,CUS-1299,Jonathan Butler,Consumer,PROD-020,Close Monitors,Technology,Monitors,7,571.59,0.12,566.09,3520.99,South Africa,Cape Town,Western Cape,MEA
CA-2023-100045,2022-11-14,CUS-1130,John Thompson,Home Office,PROD-039,Off Tables,Furniture,Tables,9,211.22,0.12,126.64,1672.86,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100046,2024-07-07,CUS-1163,Christopher Martin,Consumer,PROD-031,Or Envelopes,Office Supplies,Envelopes,1,8.57,0.0,0.61,8.57,United States,Chicago,Illinois,Central
CA-2024-100047,2023-04-09,CUS-1431,Susan Black,Consumer,PROD-016,Development Tablets,Technology,Tablets,1,250.34,0.1,43.56,225.31,United States,New York,New York,East
CA-2024-100048,2022-05-02,CUS-1217,Gregory Martin,Consumer,PROD-004,Should Accessories,Technology,Accessories,1,41.9,0.1,5.42,37.71,Germany,Berlin,Berlin,EMEA
CA-2022-100049,2024-10-09,CUS-1036,Sharon York,Consumer,PROD-032,Apply Monitors,Technology,Monitors,7,478.09,0.05,675.05,3179.3,United Kingdom,London,England,EMEA
CA-2022-100050,2024-03-03,CUS-1351,Jill Sanders,Corporate,PROD-036,National Monitors,Technology,Monitors,1,460.41,0.05,53.53,437.39,United States,New York,New York,East
CA-2023-100051,2024-10-03,CUS-1033,Lauren Short,Corporate,PROD-001,Summer Binders,Office Supplies,Binders,3,789.59,0.1,265.1,2131.89,United States,Chicago,Illinois,Central
CA-2022-100052,2024-06-03,CUS-1109,Tyrone Lyons,Corporate,PROD-018,Senior Chairs,Furniture,Chairs,3,759.27,0.1,279.25,2050.03,Germany,Berlin,Berlin,EMEA
CA-2024-100053,2022-02-02,CUS-1158,Brittany Collins,Corporate,PROD-035,Including Chairs,Furniture,Chairs,6,778.02,0.12,212.35,4107.95,Canada,Toronto,Ontario,Central
CA-2023-100054,2024-06-04,CUS-1469,Victor Green DDS,Corporate,PROD-035,Including Chairs,Furniture,Chairs,6,272.87,0.1,136.99,1473.5,Australia,Sydney,NSW,APAC
CA-2024-100055,2024-05-04,CUS-1466,Kelly Garza,Home Office,PROD-006,As Phones,Technology,Phones,10,232.08,0.1,109.44,2088.72,United States,New York,New York,East
CA-2024-100056,2022-06-27,CUS-1124,Robert Schultz,Home Office,PROD-030,Whatever Accessories,Technology,Accessories,8,365.35,0.0,252.82,2922.8,Canada,Toronto,Ontario,Central
CA-2024-100057,2022-03-23,CUS-1419,Evan Russell,Consumer,PROD-016,Development Tablets,Technology,Tablets,1,454.49,0.12,46.83,399.95,Australia,Sydney,NSW,APAC
CA-2022-100058,2022-09-04,CUS-1061,Amy Walker,Home Office,PROD-026,Operation Tables,Furniture,Tables,9,250.05,0.12,355.14,1980.4,South Africa,Cape Town,Western Cape,MEA
CA-2024-100059,2023-10-27,CUS-1154,Jerry Riley,Consumer,PROD-017,Benefit Chairs,Furniture,Chairs,7,23.73,0.05,33.3,157.8,Canada,Toronto,Ontario,Central
CA-2022-100060,2023-08-11,CUS-1486,Michelle Werner,Consumer,PROD-032,Apply Monitors,Technology,Monitors,2,30.43,0.12,6.77,53.56,India,Mumbai,Maharashtra,APAC
CA-2023-100061,2024-03-27,CUS-1105,Sharon Cooke,Home Office,PROD-018,Senior Chairs,Furniture,Chairs,9,155.74,0.0,113.76,1401.66,United Kingdom,London,England,EMEA
CA-2022-100062,2023-09-13,CUS-1115,Jesse Harris,Home Office,PROD-039,Off Tables,Furniture,Tables,9,601.49,0.12,698.87,4763.8,Australia,Sydney,NSW,APAC
CA-2024-100063,2023-06-28,CUS-1495,Kenneth Cannon,Home Office,PROD-013,Such Writing,Office Supplies,Writing,9,591.59,0.12,445.57,4685.39,Australia,Sydney,NSW,APAC
CA-2022-100064,2024-02-17,CUS-1025,Megan Marshall,Home Office,PROD-005,Ever Chairs,Furniture,Chairs,10,507.55,0.0,1189.75,5075.5,India,Mumbai,Maharashtra,APAC
CA-2023-100065,2024-10-31,CUS-1206,Dr. Russell Foley DVM,Consumer,PROD-020,Close Monitors,Technology,Monitors,3,116.81,0.1,60.56,315.39,India,Mumbai,Maharashtra,APAC
CA-2022-100066,2023-04-16,CUS-1090,Beverly Morales,Corporate,PROD-029,Early Envelopes,Office Supplies,Envelopes,7,574.27,0.05,296.58,3818.9,South Africa,Cape Town,Western Cape,MEA
CA-2022-100067,2023-02-24,CUS-1086,Katrina Tran,Home Office,PROD-019,Many Binders,Office Supplies,Binders,6,400.99,0.05,311.45,2285.64,United States,New York,New York,East
CA-2022-100068,2022-03-06,CUS-1190,David Carpenter,Corporate,PROD-011,Last Paper,Office Supplies,Paper,3,92.62,0.0,56.49,277.86,United Kingdom,London,England,EMEA
CA-2023-100069,2024-03-16,CUS-1175,Darlene Sloan,Corporate,PROD-034,Organization Tables,Furniture,Tables,7,167.79,0.1,64.08,1057.08,South Africa,Cape Town,Western Cape,MEA
CA-2022-100070,2024-07-27,CUS-1145,Pamela Neal,Corporate,PROD-039,Off Tables,Furniture,Tables,1,181.79,0.05,21.31,172.7,Canada,Toronto,Ontario,Central
CA-2024-100071,2023-04-15,CUS-1400,Kenneth Martin,Corporate,PROD-010,Mean Phones,Technology,Phones,6,542.55,0.12,338.63,2864.66,India,Mumbai,Maharashtra,APAC
CA-2023-100072,2022-11-22,CUS-1048,Diana Meyers,Consumer,PROD-023,Book Accessories,Technology,Accessories,3,183.73,0.05,38.2,523.63,United States,New York,New York,East
CA-2024-100073,2022-10-17,CUS-1053,Justin Adams,Home Office,PROD-014,Them Phones,Technology,Phones,10,387.31,0.0,659.63,3873.1,Canada,Toronto,Ontario,Central
CA-2024-100074,2024-09-09,CUS-1351,David Erickson,Consumer,PROD-032,Apply Monitors,Technology,Monitors,7,660.99,0.05,720.51,4395.58,South Africa,Cape Town,Western Cape,MEA
CA-2024-100075,2024-01-17,CUS-1357,Andrea Brown,Home Office,PROD-007,Get Writing,Office Supplies,Writing,8,78.6,0.1,106.37,565.92,Brazil,São Paulo,São Paulo,LATAM
CA-2023-100076,2023-05-03,CUS-1021,Tanner Schwartz,Consumer,PROD-013,Such Writing,Office Supplies,Writing,6,662.4,0.0,512.94,3974.4,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100077,2024-03-31,CUS-1412,Corey Williams,Corporate,PROD-012,Cause Accessories,Technology,Accessories,2,446.59,0.1,147.59,803.86,South Africa,Cape Town,Western Cape,MEA
CA-2024-100078,2024-11-24,CUS-1279,David Adams,Home Office,PROD-039,Off Tables,Furniture,Tables,9,322.06,0.0,539.12,2898.54,Australia,Sydney,NSW,APAC
CA-2022-100079,2022-11-28,CUS-1072,Dakota Lang,Corporate,PROD-035,Including Chairs,Furniture,Chairs,1,465.87,0.05,108.38,442.58,India,Mumbai,Maharashtra,APAC
CA-2022-100080,2024-09-28,CUS-1132,Benjamin Smith,Consumer,PROD-015,Key Bookcases,Furniture,Bookcases,8,30.41,0.12,46.29,214.09,Australia,Sydney,NSW,APAC
CA-2024-100081,2022-12-26,CUS-1204,Anthony Allen,Home Office,PROD-038,Old Writing,Office Supplies,Writing,4,642.02,0.0,529.76,2568.08,United States,Chicago,Illinois,Central
CA-2023-100082,2024-08-03,CUS-1375,Cindy Roberts,Consumer,PROD-022,Final Paper,Office Supplies,Paper,1,372.29,0.0,63.21,372.29,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100083,2023-01-03,CUS-1152,Joseph Haas,Home Office,PROD-027,Old Envelopes,Office Supplies,Envelopes,1,384.51,0.12,57.53,338.37,Germany,Berlin,Berlin,EMEA
CA-2024-100084,2024-04-27,CUS-1102,Christopher Sawyer,Consumer,PROD-015,Key Bookcases,Furniture,Bookcases,8,314.54,0.05,286.09,2390.5,Germany,Berlin,Berlin,EMEA
CA-2024-100085,2024-08-14,CUS-1080,Tammy Ferguson,Consumer,PROD-023,Book Accessories,Technology,Accessories,3,153.55,0.0,29.34,460.65,Canada,Toronto,Ontario,Central
CA-2022-100086,2022-10-01,CUS-1459,Mr. Robert Moreno III,Corporate,PROD-008,Rule Envelopes,Office Supplies,Envelopes,3,596.74,0.12,340.76,1575.39,India,Mumbai,Maharashtra,APAC
CA-2022-100087,2024-10-19,CUS-1165,Jennifer May,Home Office,PROD-014,Them Phones,Technology,Phones,4,360.0,0.12,242.26,1267.2,United States,Chicago,Illinois,Central
CA-2024-100088,2022-02-17,CUS-1107,Jennifer Hudson,Corporate,PROD-022,Final Paper,Office Supplies,Paper,8,761.27,0.05,363.78,5785.65,United States,Los Angeles,California,West
CA-2023-100089,2022-03-06,CUS-1149,Robert Richardson,Corporate,PROD-016,Development Tablets,Technology,Tablets,2,731.96,0.1,155.47,1317.53,United Kingdom,London,England,EMEA
CA-2024-100090,2024-11-15,CUS-1359,Roger Cabrera,Home Office,PROD-013,Such Writing,Office Supplies,Writing,3,23.55,0.0,17.25,70.65,United States,Los Angeles,California,West
CA-2023-100091,2022-10-06,CUS-1266,Lisa Martinez,Corporate,PROD-017,Benefit Chairs,Furniture,Chairs,7,394.84,0.05,384.13,2625.69,Australia,Sydney,NSW,APAC
CA-2023-100092,2024-09-21,CUS-1470,Michael Rowe,Home Office,PROD-003,Include Writing,Office Supplies,Writing,9,515.49,0.12,234.9,4082.68,United States,Los Angeles,California,West
CA-2024-100093,2023-05-23,CUS-1139,Adrian Davis,Home Office,PROD-038,Old Writing,Office Supplies,Writing,4,75.2,0.1,48.98,270.72,South Africa,Cape Town,Western Cape,MEA
CA-2022-100094,2022-10-02,CUS-1381,Debra Sparks,Home Office,PROD-038,Old Writing,Office Supplies,Writing,10,122.85,0.1,167.31,1105.65,United Kingdom,London,England,EMEA
CA-2024-100095,2022-10-04,CUS-1121,Tiffany Castro,Consumer,PROD-033,Wear Tables,Furniture,Tables,6,427.34,0.05,247.28,2435.84,South Africa,Cape Town,Western Cape,MEA
CA-2022-100096,2022-08-24,CUS-1220,Deborah Thompson,Home Office,PROD-013,Such Writing,Office Supplies,Writing,10,495.17,0.12,326.06,4357.5,United States,Chicago,Illinois,Central
CA-2022-100097,2024-07-23,CUS-1475,Tina Gonzalez,Consumer,PROD-008,Rule Envelopes,Office Supplies,Envelopes,3,7.36,0.0,3.89,22.08,United States,New York,New York,East
CA-2022-100098,2022-07-21,CUS-1405,Troy Brown,Home Office,PROD-003,Include Writing,Office Supplies,Writing,1,193.17,0.1,36.43,173.85,United States,Chicago,Illinois,Central
CA-2023-100099,2023-10-19,CUS-1444,Thomas Dunn,Corporate,PROD-037,Care Tables,Furniture,Tables,3,695.45,0.0,255.59,2086.35,United States,New York,New York,East
CA-2023-100100,2022-07-14,CUS-1434,Matthew Sullivan,Consumer,PROD-008,Rule Envelopes,Office Supplies,Envelopes,1,585.4,0.12,66.36,515.15,Canada,Toronto,Ontario,Central
CA-2022-100101,2023-02-02,CUS-1439,Gary Best,Consumer,PROD-009,Benefit Monitors,Technology,Monitors,1,156.73,0.05,11.92,148.89,United Kingdom,London,England,EMEA
CA-2022-100102,2024-10-01,CUS-1028,Rhonda Wiggins,Consumer,PROD-004,Should Accessories,Technology,Accessories,6,551.04,0.12,702.07,2909.49,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100103,2022-01-02,CUS-1458,Dr. Keith Miller II,Home Office,PROD-004,Should Accessories,Technology,Accessories,10,669.05,0.12,840.34,5887.64,United States,New York,New York,East
CA-2022-100104,2024-05-31,CUS-1291,Roger Ferguson,Corporate,PROD-006,As Phones,Technology,Phones,10,342.49,0.12,582.96,3013.91,United States,Chicago,Illinois,Central
CA-2022-100105,2023-10-15,CUS-1064,Brittany Scott,Home Office,PROD-008,Rule Envelopes,Office Supplies,Envelopes,8,35.2,0.0,67.41,281.6,Germany,Berlin,Berlin,EMEA
CA-2023-100106,2024-07-14,CUS-1309,Dr. Larry Torres,Consumer,PROD-023,Book Accessories,Technology,Accessories,2,686.88,0.1,179.15,1236.38,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100107,2024-07-05,CUS-1459,Megan Johnson,Corporate,PROD-014,Them Phones,Technology,Phones,4,711.77,0.0,273.8,2847.08,Germany,Berlin,Berlin,EMEA
CA-2022-100108,2023-11-28,CUS-1497,Mr. Jose Gonzalez,Home Office,PROD-022,Final Paper,Office Supplies,Paper,4,477.59,0.0,340.47,1910.36,Brazil,São Paulo,São Paulo,LATAM
CA-2022-100109,2023-08-23,CUS-1273,William Baker,Corporate,PROD-002,However Binders,Office Supplies,Binders,6,421.3,0.0,229.78,2527.8,Germany,Berlin,Berlin,EMEA
CA-2024-100110,2023-12-26,CUS-1479,Paul Thompson,Home Office,PROD-034,Organization Tables,Furniture,Tables,5,366.69,0.05,98.35,1741.78,United States,Los Angeles,California,West
CA-2023-100111,2022-03-01,CUS-1160,Jennifer Davidson,Home Office,PROD-023,Book Accessories,Technology,Accessories,4,124.88,0.0,112.6,499.52,United States,New York,New York,East
CA-2022-100112,2024-05-03,CUS-1262,Erika Carey,Consumer,PROD-031,Or Envelopes,Office Supplies,Envelopes,5,743.97,0.1,741.17,3347.87,United States,New York,New York,East
CA-2023-100113,2023-09-16,CUS-1001,Judy Wallace,Home Office,PROD-024,Describe Bookcases,Furniture,Bookcases,9,167.0,0.12,213.23,1322.64,United Kingdom,London,England,EMEA
CA-2022-100114,2022-11-28,CUS-1071,Amanda Sullivan,Home Office,PROD-032,Apply Monitors,Technology,Monitors,5,504.75,0.0,413.87,2523.75,United States,New York,New York,East
CA-2024-100115,2024-12-31,CUS-1372,Steven Nguyen,Consumer,PROD-031,Or Envelopes,Office Supplies,Envelopes,8,144.67,0.0,256.76,1157.36,Canada,Toronto,Ontario,Central
CA-2022-100116,2024-12-12,CUS-1182,Lucas Kelly,Home Office,PROD-035,Including Chairs,Furniture,Chairs,1,649.02,0.05,151.5,616.57,South Africa,Cape Town,Western Cape,MEA
CA-2022-100117,2023-01-15,CUS-1364,Brandon Edwards,Corporate,PROD-019,Many Binders,Office Supplies,Binders,6,507.26,0.12,399.46,2678.33,Canada,Toronto,Ontario,Central
CA-2022-100118,2022-04-27,CUS-1135,Sheri Hodges,Home Office,PROD-024,Describe Bookcases,Furniture,Bookcases,1,716.18,0.12,98.76,630.24,United States,Chicago,Illinois,Central
CA-2023-100119,2023-12-21,CUS-1257,Elizabeth Rivera,Consumer,PROD-027,Old Envelopes,Office Supplies,Envelopes,1,323.28,0.0,29.62,323.28,South Africa,Cape Town,Western Cape,MEA
CA-2024-100120,2022-07-17,CUS-1296,Alejandra Aguirre,Home Office,PROD-018,Senior Chairs,Furniture,Chairs,9,138.6,0.05,272.9,1185.03,Australia,Sydney,NSW,APAC
CA-2024-100121,2024-10-09,CUS-1155,Anita Fuller,Consumer,PROD-035,Including Chairs,Furniture,Chairs,6,21.79,0.12,28.11,115.05,Germany,Berlin,Berlin,EMEA
CA-2023-100122,2024-02-07,CUS-1175,Shawn Snyder,Corporate,PROD-002,However Binders,Office Supplies,Binders,1,234.78,0.1,42.07,211.3,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100123,2023-11-21,CUS-1342,Gary Ford,Home Office,PROD-035,Including Chairs,Furniture,Chairs,1,608.36,0.12,78.98,535.36,Brazil,São Paulo,São Paulo,LATAM
CA-2023-100124,2023-12-04,CUS-1139,Timothy Richardson,Corporate,PROD-037,Care Tables,Furniture,Tables,2,164.07,0.12,14.57,288.76,Brazil,São Paulo,São Paulo,LATAM
CA-2024-100125,2023-08-26,CUS-1161,Tracy Hunt,Consumer,PROD-024,Describe Bookcases,Furniture,Bookcases,1,792.18,0.05,46.55,752.57,Germany,Berlin,Berlin,EMEA
CA-2024-100126,2022-06-22,CUS-1159,Kim Mendez,Corporate,PROD-002,However Binders,Office Supplies,Binders,6,618.67,0.0,702.96,3712.02,United States,Chicago,Illinois,Central
CA-2023-100127,2023-10-26,CUS-1024,Richard Brown,Consumer,PROD-036,National Monitors,Technology,Monitors,5,182.07,0.0,180.4,910.35,Australia,Sydney,NSW,APAC
CA-2022-100128,2022-08-09,CUS-1190,Christian Benton,Consumer,PROD-035,Including Chairs,Furniture,Chairs,6,791.08,0.12,286.56,4176.9,Germany,Berlin,Berlin,EMEA
CA-2024-100129,2023-09-06,CUS-1332,Marcus Castro,Consumer,PROD-015,Key Bookcases,Furniture,Bookcases,8,78.16,0.12,71.36,550.25,Germany,Berlin,Berlin,EMEA
CA-2023-100130,2024-12-08,CUS-1376,Elizabeth Duran,Home Office,PROD-031,Or Envelopes,Office Supplies,Envelopes,5,490.17,0.12,525.81,2156.75,South Africa,Cape Town,Western Cape,MEA
CA-2023-100131,2023-01-15,CUS-1027,Stephen Stevenson,Home Office,PROD-014,Them Phones,Technology,Phones,7,424.3,0.0,499.81,2970.1,South Africa,Cape Town,Western Cape,MEA
CA-2022-100132,2022-01-14,CUS-1028,Patrick Robles,Consumer,PROD-026,Operation Tables,Furniture,Tables,3,561.7,0.1,119.2,1516.59,South Africa,Cape Town,Western Cape,MEA
CA-2022-100133,2023-10-05,CUS-1091,Mitchell Gordon,Home Office,PROD-009,Benefit Monitors,Technology,Monitors,3,422.39,0.05,117.76,1203.81,Germany,Berlin,Berlin,EMEA
CA-2023-100134,2024-09-12,CUS-1029,Jeff Fuller,Corporate,PROD-012,Cause Accessories,Technology,Accessories,5,661.21,0.1,556.36,2975.45,United States,New York,New York,East
CA-2023-100135,2024-01-07,CUS-1058,Doris Wolfe,Consumer,PROD-013,Such Writing,Office Supplies,Writing,6,597.18,0.05,387.71,3403.93,United Kingdom,London,England,EMEA
CA-2022-100136,2024-04-04,CUS-1099,Alexis Stevenson,Corporate,PROD-011,Last Paper,Office Supplies,Paper,10,519.12,0.1,612.61,4672.08,United States,New York,New York,East
CA-2022-100137,2023-02-17,CUS-1483,Sherry Nixon,Corporate,PROD-010,Mean Phones,Technology,Phones,7,48.03,0.0,56.41,336.21,Australia,Sydney,NSW,APAC
CA-2023-100138,2024-06-20,CUS-1217,Tina Reynolds,Corporate,PROD-017,Benefit Chairs,Furniture,Chairs,10,53.28,0.0,36.8,532.8,Brazil,São Paulo,São Paulo,LATAM
CA-2022-100139,2024-07-13,CUS-1429,Alejandro Hall,Home Office,PROD-019,Many Binders,Office Supplies,Binders,6,689.92,0.0,248.45,4139.52,United States,New York,New York,East
CA-2024-100140,2023-12-21,CUS-1364,Thomas Mclaughlin,Consumer,PROD-021,Billion Phones,Technology,Phones,1,502.23,0.05,80.54,477.12,United States,Chicago,Illinois,Central
CA-2023-100141,2022-11-25,CUS-1064,Jessica Hamilton,Home Office,PROD-027,Old Envelopes,Office Supplies,Envelopes,9,106.73,0.05,92.96,912.54,United Kingdom,London,England,EMEA
CA-2024-100142,2023-08-28,CUS-1190,Samantha Curtis,Consumer,PROD-009,Benefit Monitors,Technology,Monitors,2,406.85,0.05,153.75,773.01,Australia,Sydney,NSW,APAC
CA-2022-100143,2024-11-23,CUS-1173,Brenda Smith,Corporate,PROD-011,Last Paper,Office Supplies,Paper,7,653.05,0.0,717.19,4571.35,United Kingdom,London,England,EMEA
